trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
162,FALSE,"{'a': 0.001, 'e': 0.9870674715819652}",25,14,-12.76845755,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
163,FALSE,"{'a': 0.001, 'e': 0.986906672720914}",25,0,-53.32680795,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
164,FALSE,"{'a': 0.001, 'e': 0.9867448869532726}",20,0,-120.3706794,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",1
165,FALSE,"{'a': 0.001, 'e': 0.9865821144408262}",25,0,-92.70043543,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
166,FALSE,"{'a': 0.001, 'e': 0.9864183553463477}",20,3,-101.4938286,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 2}",1
167,FALSE,"{'a': 0.001, 'e': 0.986253609833596}",20,0,-86.9718199,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
168,FALSE,"{'a': 0.001, 'e': 0.9860878780673167}",20,0,-206.189347,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 5}",0
169,FALSE,"{'a': 0.001, 'e': 0.9859211602132415}",20,0,-150.7124965,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
170,FALSE,"{'a': 0.001, 'e': 0.9857534564380882}",25,0,-125.4551073,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
171,FALSE,"{'a': 0.001, 'e': 0.9855847669095608}",25,4,-52.92743388,"{0: 12, 1: 4, 2: 5, 3: 0, 4: 0}",1
172,FALSE,"{'a': 0.001, 'e': 0.9854150917963483}",25,0,-123.4837004,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
173,FALSE,"{'a': 0.001, 'e': 0.9852444312681263}",30,0,-123.0295503,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
174,FALSE,"{'a': 0.001, 'e': 0.9850727854955552}",25,0,-127.6595334,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
175,FALSE,"{'a': 0.001, 'e': 0.9849001546502806}",25,0,-29.772517,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
176,FALSE,"{'a': 0.001, 'e': 0.9847265389049334}",20,6,-33.22193875,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
177,FALSE,"{'a': 0.001, 'e': 0.9845519384331295}",25,0,-105.4851331,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
178,FALSE,"{'a': 0.001, 'e': 0.984376353409469}",20,0,-123.7989008,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
